,PanCK,CD3,CD4,CD8,CD20,CD68,PD1,PDL1,FOXP3,Ki67,SMA,CD31,VIM,CD45
cell_00000,1,5,4,2,1,0,3,3,1,6,4,3,5,1
cell_00001,1,3,5,3,0,1,2,7,1,1,1,6,7,4
cell_00002,1,3,3,5,2,1,0,3,3,6,0,6,3,1
cell_00003,3,6,5,9,0,0,2,2,4,7,0,8,5,1
cell_00004,4,9,7,6,5,5,0,2,4,2,0,5,8,1
cell_00005,0,6,8,3,0,0,0,6,4,5,0,5,8,0
cell_00006,0,3,3,6,0,3,0,8,5,6,0,6,4,1
cell_00007,2,3,3,8,2,1,1,2,5,4,1,9,4,4
cell_00008,2,8,9,1,2,1,3,4,8,6,1,8,5,2
cell_00009,3,8,6,1,0,0,1,5,1,2,0,5,5,2
cell_00010,1,6,5,3,1,1,0,6,4,6,0,3,4,3
cell_00011,4,7,4,3,1,0,0,3,6,7,0,6,6,2
cell_00012,3,6,6,4,1,3,1,4,6,5,1,4,8,4
cell_00013,5,5,5,4,0,1,1,2,3,4,0,5,4,2
cell_00014,2,6,3,3,0,1,1,5,4,2,0,8,7,4
cell_00015,0,5,4,3,3,0,0,8,2,3,0,8,2,1
cell_00016,3,3,6,2,1,2,2,9,5,10,1,3,5,3
cell_00017,0,7,8,2,1,1,0,3,4,7,2,4,7,3
cell_00018,2,6,7,4,0,1,1,9,8,4,0,5,8,3
cell_00019,2,5,3,6,0,1,2,6,1,5,1,7,4,1
cell_00020,6,5,3,2,1,1,0,4,3,2,1,4,3,0
cell_00021,1,5,3,3,3,1,2,5,3,6,1,6,7,1
cell_00022,5,9,5,5,1,0,0,7,1,4,0,4,8,1
cell_00023,2,5,3,7,0,1,0,6,8,7,2,13,3,1
cell_00024,3,3,7,1,1,2,3,1,0,4,1,4,7,0
cell_00025,2,7,6,5,0,1,1,5,3,2,1,7,5,1
cell_00026,1,5,3,5,3,2,2,4,6,7,1,5,4,1
cell_00027,6,9,5,6,0,1,0,2,5,4,1,4,5,0
cell_00028,1,7,5,5,1,0,0,4,5,4,0,10,4,3
cell_00029,3,5,2,1,2,1,2,4,0,4,0,6,9,2
cell_00030,2,5,8,8,0,0,2,9,4,4,1,7,3,2
cell_00031,1,10,4,2,2,3,1,1,6,3,1,9,5,0
cell_00032,3,8,1,5,1,3,0,4,4,2,1,4,6,2
cell_00033,2,5,5,4,0,1,0,7,3,3,0,10,5,3
cell_00034,3,10,5,3,2,4,2,4,4,6,0,7,3,1
cell_00035,5,6,4,4,0,1,4,5,5,3,0,5,6,2
cell_00036,1,6,6,2,4,2,0,10,6,3,2,5,2,2
cell_00037,2,3,0,1,0,2,1,4,6,5,1,3,3,2
cell_00038,2,3,5,1,4,0,1,2,4,4,2,10,6,1
cell_00039,2,4,5,4,0,2,0,2,1,5,1,8,7,0
cell_00040,3,6,7,6,1,1,1,8,3,10,0,8,3,2
cell_00041,3,2,4,7,2,1,0,3,5,4,0,6,7,1
cell_00042,4,6,4,3,1,0,1,4,3,6,1,7,8,2
cell_00043,3,4,8,3,2,1,1,4,3,2,0,5,9,0
cell_00044,2,2,4,4,3,1,0,5,7,2,1,7,5,0
cell_00045,0,6,4,2,0,1,0,12,2,10,0,7,1,2
cell_00046,2,4,4,4,4,2,1,4,2,1,1,11,5,2
cell_00047,0,6,6,1,0,1,0,4,2,7,0,11,6,1
cell_00048,3,12,6,5,2,0,1,8,6,3,0,8,3,1
cell_00049,3,5,4,4,1,2,1,6,2,6,0,6,2,3
cell_00050,4,8,1,5,2,0,0,5,1,5,0,3,3,3
cell_00051,1,10,5,7,3,1,1,3,4,2,0,6,5,3
cell_00052,3,6,8,3,0,0,2,2,3,2,1,3,8,2
cell_00053,2,4,4,1,1,2,1,2,7,4,2,5,6,1
cell_00054,2,5,3,4,4,0,1,8,5,3,0,4,7,3
cell_00055,2,7,3,1,1,1,1,9,4,3,0,1,6,3
cell_00056,6,10,7,5,2,1,0,7,0,9,1,5,6,2
cell_00057,4,7,6,3,0,0,0,8,2,2,1,4,5,0
cell_00058,3,4,10,4,2,2,1,3,5,4,0,7,4,2
cell_00059,2,3,6,3,1,0,1,8,2,5,0,1,4,1
cell_00060,0,4,5,5,0,3,0,4,7,2,1,5,5,1
cell_00061,1,6,7,0,0,2,3,4,4,4,0,9,3,2
cell_00062,2,5,3,7,1,0,1,6,4,2,0,7,5,2
cell_00063,4,5,7,2,2,1,0,3,6,10,1,10,3,0
cell_00064,5,6,5,4,0,0,0,4,0,4,2,5,3,0
cell_00065,2,8,3,5,1,1,0,4,3,4,0,3,7,1
cell_00066,4,5,5,6,1,2,3,3,5,2,3,8,5,0
cell_00067,2,6,2,4,2,3,0,5,9,0,0,4,5,0
cell_00068,3,4,3,5,1,1,0,2,6,6,0,10,2,2
cell_00069,2,4,3,2,2,1,2,7,1,3,0,7,4,1
cell_00070,4,6,5,5,1,1,0,7,4,3,2,8,4,2
cell_00071,5,4,3,4,0,3,2,9,1,5,0,3,3,2
cell_00072,1,6,1,3,2,0,0,3,5,2,1,3,2,3
cell_00073,2,6,7,5,2,3,1,6,2,8,0,6,3,1
cell_00074,5,5,0,3,2,1,1,4,9,3,1,3,3,2
cell_00075,4,9,2,3,3,2,0,10,5,5,0,10,3,3
cell_00076,3,7,9,5,1,0,1,5,7,6,0,6,5,3
cell_00077,3,5,5,5,1,3,0,2,1,4,0,6,3,2
cell_00078,1,8,10,2,1,2,0,3,3,5,1,5,2,1
cell_00079,2,5,8,3,1,1,2,3,1,4,0,6,4,5
cell_00080,2,5,3,5,1,0,1,3,2,2,0,2,4,2
cell_00081,4,8,3,4,2,2,2,10,5,4,1,9,3,0
cell_00082,4,9,5,4,2,1,1,3,8,2,0,6,10,1
cell_00083,2,4,7,3,2,0,2,3,2,3,1,1,2,2
cell_00084,1,5,7,5,2,3,0,5,3,6,2,6,4,1
cell_00085,2,5,2,4,3,4,1,7,4,8,0,6,4,0
cell_00086,3,5,3,9,3,2,1,4,5,2,1,6,5,0
cell_00087,2,1,5,1,3,1,2,7,3,3,0,4,6,2
cell_00088,3,8,5,7,1,2,2,5,6,5,0,9,5,0
cell_00089,2,6,6,3,0,1,1,3,4,3,1,6,7,1
cell_00090,1,7,7,4,3,1,0,4,2,7,1,5,3,0
cell_00091,3,5,4,1,0,1,3,4,4,8,0,7,3,2
cell_00092,1,8,2,5,2,3,1,4,4,4,0,3,6,4
cell_00093,1,6,7,6,1,1,0,6,2,5,0,7,6,3
cell_00094,1,4,3,5,3,0,1,10,4,6,2,5,3,0
cell_00095,3,2,6,7,1,1,0,5,3,1,1,8,9,2
cell_00096,1,3,7,2,0,2,0,7,4,6,1,9,7,1
cell_00097,3,6,6,7,1,3,0,4,4,4,1,9,8,2
cell_00098,2,3,1,4,1,1,1,6,3,8,1,4,3,1
cell_00099,3,7,4,8,1,3,1,4,3,2,0,7,4,2
cell_00100,3,7,2,6,3,1,0,0,5,4,0,7,8,0
cell_00101,0,4,3,3,1,0,0,5,2,4,2,7,3,3
cell_00102,2,4,5,4,1,1,2,10,4,3,0,2,6,1
cell_00103,4,5,5,7,2,2,2,5,4,6,2,5,3,1
cell_00104,0,6,6,1,3,1,3,5,4,7,3,3,6,4
cell_00105,2,7,3,4,3,2,0,8,4,3,1,8,5,1
cell_00106,4,10,2,3,0,2,0,6,1,3,0,1,9,2
cell_00107,2,3,3,4,0,0,2,6,3,3,2,5,5,2
cell_00108,1,5,6,1,2,2,0,5,3,6,0,4,6,4
cell_00109,2,7,8,3,1,1,0,8,3,1,2,7,3,1
cell_00110,5,9,4,4,0,1,0,5,6,2,0,7,4,1
cell_00111,0,6,5,4,0,1,1,4,8,5,0,3,6,1
cell_00112,0,7,6,4,2,1,0,4,4,4,0,5,5,0
cell_00113,3,5,4,5,1,3,2,4,2,6,0,7,3,2
cell_00114,2,6,4,3,1,2,0,10,4,2,0,6,7,0
cell_00115,2,7,5,0,0,0,0,5,2,6,1,7,6,3
cell_00116,3,9,4,2,1,1,1,9,3,3,0,5,4,0
cell_00117,3,6,6,2,2,2,1,6,5,5,1,8,6,1
cell_00118,3,8,5,6,0,1,1,5,2,7,0,6,3,3
cell_00119,3,5,7,2,0,0,1,3,5,3,1,3,7,0
cell_00120,3,5,4,3,1,0,1,7,3,6,0,8,5,2
cell_00121,6,8,3,2,1,1,2,4,1,3,0,6,5,2
cell_00122,3,3,5,4,0,0,0,4,2,6,0,8,7,2
cell_00123,0,5,4,7,1,2,0,6,8,4,1,9,2,4
cell_00124,2,4,8,4,2,4,1,4,6,0,0,6,6,2
cell_00125,3,5,4,6,2,4,1,5,1,3,1,3,4,3
cell_00126,0,8,8,3,1,2,0,6,5,2,0,5,4,5
cell_00127,3,5,4,3,1,2,1,4,5,4,1,5,2,3
cell_00128,1,4,3,4,1,0,0,1,3,3,0,2,6,1
cell_00129,5,3,5,3,2,2,0,6,2,1,0,6,6,2
