,X_centroid,Y_centroid,cell_area,nucleus_area,phenotype,sample_id
cell_00000,2757.434601419759,314.5511777417601,151.32885157630648,83.52775565303985,stromal,demo_sample
cell_00001,102.9746805883367,583.7644934110226,103.54285842985807,53.14147026879331,stromal,demo_sample
cell_00002,17.598789736440356,247.02968608083265,136.15785198778497,76.48551468375587,stromal,demo_sample
cell_00003,1705.0676310248657,2928.8982753499827,85.94111901274539,35.091513278181345,tumor,demo_sample
cell_00004,298.3372723420136,440.3103353119101,178.1554157681169,43.11415449246358,tumor,demo_sample
cell_00005,1155.9340516654308,1257.2935245710923,92.51783990769519,24.72554089919343,stromal,demo_sample
cell_00006,1665.6399931644298,162.17443580361333,139.75111984145406,45.723532883248055,stromal,demo_sample
cell_00007,1704.017471625457,923.6051151313223,152.27507924220242,42.38685025486842,stromal,demo_sample
cell_00008,1652.1218792746017,2902.800962542677,157.59671214901618,86.49592635620945,stromal,demo_sample
cell_00009,1022.4404573446617,608.611462008111,165.09954110002192,66.79218712475681,tumor,demo_sample
cell_00010,2288.0492248548912,1076.1298356456807,138.58967298295488,32.56743720265775,stromal,demo_sample
cell_00011,1460.0554398912116,1919.1692375405144,100.1078403735835,42.25619301728028,tumor,demo_sample
cell_00012,2566.349028072132,1919.3132655723605,176.61430835715692,62.149073967284636,tumor,demo_sample
cell_00013,272.4109415079253,1996.8004398908765,91.12471653506145,44.93393060888815,tumor,demo_sample
cell_00014,750.4001913599582,1657.6230520252066,139.19605691039948,30.43473512222497,stromal,demo_sample
cell_00015,183.20581746017405,1990.2987275518692,90.41589413490084,42.92507258944791,stromal,demo_sample
cell_00016,861.6575262264328,2219.780231830679,79.70388236699112,20.063997031116134,tumor,demo_sample
cell_00017,2667.0265702206416,805.9534377106144,106.76866603792278,42.57508280958524,stromal,demo_sample
cell_00018,2735.2412363085273,984.3078984333439,130.79669589683064,71.02197017512289,stromal,demo_sample
cell_00019,2488.269430494605,127.942827585395,123.93053012272573,62.31118334209238,stromal,demo_sample
cell_00020,1208.7000640912174,85.35099534419966,135.2982415543558,44.26545627520648,tumor,demo_sample
cell_00021,2130.941324994953,2667.8025720819455,114.91836509355741,65.46234539197177,stromal,demo_sample
cell_00022,2646.94260673277,2423.1120360971217,102.85183450174209,43.1334878518361,tumor,demo_sample
cell_00023,2930.641465014578,1294.6707744285718,101.14770602526762,53.4539792424595,stromal,demo_sample
